,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
IDR,9.31462e-05,0.000513472,0.0096535495,0.0033517487,0.0004516409,0.0213812504,0.0016413455,5.31992e-05,0.0002927416,0.0006543412,1.0,0.0050105856,0.0003678698,0.0049835557,0.0004588916,0.0070716033,0.0021423617,6.38405e-05,6.05238e-05,0.0002858298,0.0001183725,0.0004656219,0.0004676978,0.0006856139,0.0001094452,0.001234226,6.62252e-05,0.0016272556,9.37817e-05,0.0001030236,0.000233507,0.0811019209,0.0002764002
INR,0.0185898752,0.1024774421,1.9266309928,0.6689335282,0.0901373404,4.2672158672,0.3275755855,0.0106173675,0.0584246319,0.1305917596,199.5774698926,1.0,0.0734185319,0.9946054332,0.0915844275,1.4113326972,0.4275671301,0.0127411309,0.0120791912,0.0570451883,0.0236244821,0.0929276336,0.0933419498,0.1368330777,0.0218428014,0.2463236982,0.013217051,0.3247635498,0.0187167067,0.0205611992,0.0466027275,16.1861161777,0.0551632503
BRL,0.2532041263,1.395798029,26.2417531794,9.111235419,1.2277191886,58.1217814778,4.4617561409,0.1446142709,0.7957749955,1.7787301953,2718.3527747158,13.6205393133,1.0,13.5470624044,1.2474292953,19.2231124858,5.8236949047,0.1735410737,0.1645250983,0.7769862292,0.3217781873,1.2657244863,1.2713676971,1.8637403136,0.2975107353,3.3550616146,0.1800233626,4.423454698,0.2549316398,0.2800546223,0.6347542818,220.463631727,0.7513532189
RUB,0.0186907035,0.1030332619,1.937080704,0.6725617073,0.0906262297,4.2903605035,0.3293522985,0.0106749542,0.0587415169,0.1313000666,200.6599433571,1.005423826,0.0738167412,1.0,0.0920811655,1.4189875201,0.4298861798,0.0128102365,0.0121447066,0.0573545914,0.0237526172,0.0934316569,0.0938482203,0.1375752365,0.021961273,0.247659715,0.013288738,0.3265250108,0.0188182229,0.0206727196,0.0468554926,16.273906855,0.0554624461
HRK,0.2029807439,1.1189395938,21.0366657874,7.3040094962,0.9841994197,46.5932471643,3.5767607491,0.1159298338,0.6379319441,1.4259166447,2179.1638090214,10.9188868372,0.8016486415,10.859984173,1.0,15.41018201,4.6685571089,0.139118966,0.1318913216,0.6228699552,0.2579530467,1.014666315,1.0191901873,1.4940648905,0.2384990768,2.6895805856,0.144315484,3.5460564495,0.2043656027,0.2245054075,0.5088499077,176.7343708784,0.6023212873
JPY,0.013171859,0.0726104074,1.3651146868,0.4739729545,0.0638668264,3.0235364601,0.2321037316,0.0075229374,0.0413967819,0.0925308114,141.4106470387,0.7085501541,0.0520207121,0.7047278329,0.0648921602,1.0,0.3029527559,0.0090277302,0.0085587128,0.0404193769,0.0167391304,0.0658438891,0.0661374529,0.0969530983,0.0154767203,0.1745326943,0.0093649435,0.2301112633,0.0132617254,0.0145686409,0.0330203697,11.4686751113,0.0390859295
THB,0.0434782609,0.2396756787,4.5060315846,1.5645111168,0.2108144758,9.9802243128,0.7661383733,0.0248320479,0.1366443484,0.3054298387,466.7745854168,2.3388140238,0.171712292,2.3261971354,0.2141989434,3.3008447044,1.0,0.0297991355,0.0282509817,0.1334180863,0.0552532701,0.2173404526,0.2183094613,0.3200271209,0.0510862502,0.5761053197,0.0309122242,0.7595615448,0.0437748962,0.0480888211,0.1089951126,37.856315507,0.1290165833
CHF,1.4590443686,8.0430413349,151.2135001896,52.501896094,7.074516496,334.916571862,25.7100872203,0.8333143724,4.5855138415,10.2496207812,15664.0310959424,78.4859689041,5.7623246113,78.0625711035,7.1880925294,110.7698141828,33.5580204778,1.0,0.9480470231,4.4772468714,1.8541903678,7.2935153584,7.3260333713,10.739476678,1.7143534319,19.3329541145,1.0373530527,25.4893818733,1.4689988623,1.6137656428,3.6576602199,1270.3830109973,4.3295411452
EUR,1.539,8.4838,159.5,55.379,7.4622,353.27,27.119,0.87898,4.8368,10.8113,16522.42,82.787,6.0781,82.3404,7.582,116.84,35.397,1.0548,1.0,4.7226,1.9558,7.6932,7.7275,11.328,1.8083,20.3924,1.0942,26.8862,1.5495,1.7022,3.8581,1340.0,4.5668
MYR,0.325879812,1.7964256977,33.7737686867,11.7263795367,1.5801041799,74.8041333164,5.7423876678,0.1861220514,1.0241815949,2.2892686232,3498.5855249227,17.5299623089,1.2870240969,17.4353957566,1.6054715623,24.7406089866,7.4952356753,0.2233515436,0.2117477661,1.0,0.4141362809,1.6290179139,1.6362808622,2.3986786939,0.3829034854,4.3180451446,0.2316944056,5.6930927879,0.3281031635,0.3604370474,0.8169440562,283.7420065218,0.967009698
BGN,0.7868902751,4.3377645976,81.5523059618,28.3152674098,3.8154207997,180.6268534615,13.8659372124,0.4494222313,2.4730545046,5.527814705,8447.9087841293,42.3289702424,3.1077308518,42.1006237857,3.8766745066,59.7402597403,18.0984763268,0.5393189488,0.5112997239,2.4146640761,1.0,3.9335310359,3.9510686164,5.7920032723,0.9245832907,10.4266284896,0.5594641579,13.7469066367,0.7922589222,0.87033439,1.9726454648,685.1416300235,2.3350035791
TRY,0.2000467946,1.1027660791,20.732595019,7.1984349815,0.9699734831,45.9197733063,3.5250610929,0.1142541465,0.6287110695,1.4053059845,2147.6654708054,10.7610617168,0.7900613529,10.7030104508,0.9855456767,15.1874382572,4.6010762752,0.1371080955,0.1299849217,0.6138667915,0.25422451,1.0,1.0044584828,1.4724691936,0.235051734,2.6507045183,0.1422295014,3.4948006031,0.2014116363,0.2212603338,0.5014948266,174.1797951438,0.5936151406
CNY,0.1991588483,1.0978712391,20.640569395,7.1664833387,0.9656680686,45.7159495309,3.509414429,0.1137470074,0.6259204141,1.3990682627,2138.1326431576,10.7132966677,0.7865545131,10.6555030734,0.981171142,15.1200258816,4.5806535102,0.1364995147,0.1294079586,0.6111420252,0.2530960854,0.995561307,1.0,1.4659333549,0.2340084115,2.6389388547,0.1415981883,3.4792882562,0.2005176318,0.2202782271,0.499268845,173.4066645099,0.5909802653
NOK,0.1358580508,0.7489230226,14.0801553672,4.8886829096,0.6587394068,31.1855579096,2.3939795198,0.0775935734,0.4269774011,0.9543873588,1458.5469632768,7.308174435,0.5365554379,7.26875,0.6693149718,10.3142655367,3.1247351695,0.0931144068,0.0882768362,0.4168961864,0.1726518362,0.6791313559,0.6821592514,1.0,0.1596310028,1.8001765537,0.0965925141,2.3734286723,0.1367849576,0.1502648305,0.3405808616,118.290960452,0.4031426554
NZD,0.8510755959,4.691588785,88.2043908643,30.6248963115,4.126638279,195.3602831389,14.9969584693,0.4860808494,2.6747774153,5.978709285,9136.9905436045,45.7816733949,3.3612232484,45.5347011005,4.1928883482,64.613172593,19.5747387049,0.5833102914,0.5530055854,2.6116241774,1.0815683238,4.2543825693,4.2733506608,6.2644472709,1.0,11.2771110988,0.6050987115,14.868218769,0.8568821545,0.9413261074,2.1335508489,741.0274843776,2.5254659072
ZAR,0.0754692925,0.4160275397,7.8215413585,2.7156685824,0.3659304447,17.3236107569,1.3298581825,0.043103313,0.2371864028,0.5301631981,810.2243973245,4.0596987113,0.2980571193,4.0377983955,0.3718051823,5.7295855319,1.7357937271,0.0517251525,0.0490378769,0.2315862772,0.0959082796,0.3772581942,0.3789401934,0.555501069,0.0886751927,1.0,0.0536572449,1.3184421647,0.0759841902,0.083472274,0.1891930327,65.7107549872,0.223946176
USD,1.4065070371,7.7534271614,145.7685980625,50.6114055931,6.819777006,322.8568817401,24.7843173094,0.8033083531,4.4203984646,9.8805520015,15100.0,75.6598428075,5.5548345823,75.251690733,6.9292633888,106.7812100165,32.3496618534,0.9639919576,0.9139097057,4.3160299762,1.7874246024,7.0308901481,7.062237251,10.3527691464,1.6526229209,18.6368122829,1.0,24.57155913,1.416103089,1.5556571011,3.5259550356,1224.6390056662,4.1736428441
MXN,0.0572412613,0.3155447776,5.932411423,2.0597555623,0.2775475895,13.1394544413,1.0086587171,0.0326926081,0.1798989816,0.4021133518,614.5316184511,3.0791632882,0.2260676481,3.0625525362,0.282003407,4.3457238286,1.3165490103,0.0392320224,0.037193802,0.1756514494,0.072743638,0.2861393577,0.2874151051,0.4213313893,0.0672575522,0.7584708884,0.0406974582,1.0,0.0576317962,0.0633112898,0.1434974076,49.8396947133,0.1698566551
SGD,0.9932236205,5.4751855437,102.9364311068,35.739916102,4.8158760891,227.9896740884,17.5017747661,0.5672668603,3.121523072,6.9772829945,10663.0655050016,53.428202646,3.9226202001,53.1399806389,4.893191352,75.4049693449,22.844143272,0.6807357212,0.645369474,3.047821878,1.2622136173,4.9649564376,4.9870926105,7.3107454017,1.1670216199,13.1606324621,0.7061632785,17.3515327525,1.0,1.0985479187,2.4898999677,864.795095192,2.947273314
AUD,0.9041240747,4.9840206791,93.7022676536,32.5337798144,4.3838561861,207.5373046646,15.9317354012,0.5163788039,2.8414992363,6.3513688168,9706.509223358,48.6352954999,3.5707319939,48.3729291505,4.454235695,68.6405827752,20.7948537187,0.6196686641,0.5874750323,2.7744095876,1.1489836682,4.5195629186,4.5397133122,6.654917166,1.0623311009,11.9800258489,0.6428151804,15.7949712137,0.9102925626,1.0,2.2665374222,787.2165432969,2.6828809776
ILS,0.3989010135,2.1989580363,41.3415930121,14.3539566108,1.9341644851,91.5657966356,7.0291075918,0.2278271688,1.2536740883,2.8022342604,4282.5276690599,21.4579715404,1.5754127679,21.34221508,1.965216039,30.2843368497,9.1747233094,0.2733988233,0.2591949405,1.2240740261,0.5069334647,1.9940385164,2.0029289028,2.9361602862,0.4687022109,5.285606905,0.2836111039,6.9687670097,0.4016225603,0.4412016277,1.0,347.3212202898,1.1836914543
KRW,0.0011485075,0.006331194,0.1190298507,0.0413276119,0.005568806,0.2636343284,0.0202380597,0.0006559552,0.0036095522,0.0080681343,12.3301641791,0.0617813433,0.0045358955,0.0614480597,0.005658209,0.0871940299,0.0264156716,0.0007871642,0.0007462687,0.0035243284,0.0014595522,0.005741194,0.005766791,0.0084537313,0.0013494776,0.015218209,0.0008165672,0.0200643284,0.0011563433,0.0012702985,0.0028791791,1.0,0.0034080597
PLN,0.3369974599,1.8577121836,34.9259875624,12.1264342647,1.6340106858,77.3561355873,5.9382937724,0.1924717526,1.0591223614,2.3673688359,3617.9425418236,18.128010861,1.3309319436,18.0302180958,1.6602434965,25.5846544626,7.7509415783,0.2309713585,0.2189717089,1.0341157922,0.4282648682,1.6845931506,1.6921038802,2.4805115179,0.3959665411,4.4653586757,0.2395988438,5.8873171586,0.3392966629,0.3727336428,0.8448147499,293.422089866,1.0
