,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
CAD,1.0,5.5125406108,103.6387264457,35.9837556855,4.8487329435,229.5451591943,17.6211825861,0.571137102,3.142820013,7.0248862898,10735.8154645874,53.7927225471,3.949382716,53.5025341131,4.9265756985,75.9194282001,23.0,0.685380117,0.6497725796,3.0686159844,1.2708252112,4.9988304094,5.0211176088,7.3606237817,1.1749837557,13.2504223522,0.7109811566,17.4699155296,1.0068226121,1.106042885,2.5068875893,870.6952566602,2.9673814165
HKD,0.1814045593,1.0,18.800537495,6.5276173413,0.8795822627,41.640538438,3.196562861,0.1036068743,0.5701218793,1.2743464014,1947.52587284,9.758245126,0.716436031,9.705603621,0.8937032933,13.7721304133,4.1723048634,0.1243310781,0.1178717084,0.5566609302,0.2305334874,0.9068106273,0.9108536269,1.3352507131,0.2131474104,2.403687027,0.1289752234,3.1691223273,0.1826422122,0.2006412221,0.4547608383,157.9480892996,0.5382965181
ISK,0.0096489028,0.0531899687,1.0,0.3472037618,0.046784953,2.2148589342,0.1700250784,0.0055108464,0.0303247649,0.0677824451,103.5888401254,0.5190407524,0.03810721,0.5162407524,0.0475360502,0.732539185,0.2219247649,0.0066131661,0.0062695925,0.0296087774,0.012262069,0.0482332288,0.0484482759,0.0710219436,0.0113373041,0.1278520376,0.0068601881,0.1685655172,0.0097147335,0.0106721003,0.0241887147,8.4012539185,0.0286319749
PHP,0.0277903176,0.1531952545,2.8801531266,1.0,0.1347478286,6.3791328843,0.4896982611,0.0158720815,0.0873399664,0.1952238213,298.3517217718,1.4949168457,0.1097546001,1.486852417,0.1369111035,2.1098250239,0.6391773055,0.0190469311,0.0180573864,0.0852778129,0.0353166363,0.1389190849,0.1395384532,0.2045540728,0.0326531718,0.3682334459,0.0197583922,0.4854945015,0.0279799202,0.0307372831,0.0696672024,24.196897741,0.0824644721
DKK,0.2062394468,1.1369033261,21.3743936105,7.4212698668,1.0,47.3412666506,3.6341829487,0.117791,0.6481734609,1.4488086623,2214.1486424915,11.0941813406,0.8145185066,11.0343330385,1.0160542467,15.6575808743,4.7435072767,0.1413524162,0.1340087374,0.6328696631,0.2620942885,1.0309560183,1.035552518,1.5180509769,0.2423279998,2.7327597759,0.1466323604,3.6029857147,0.2076465386,0.2281096728,0.5170191096,179.5717080754,0.6119911018
HUF,0.0043564412,0.0240150593,0.4514960229,0.1567611176,0.0211232202,1.0,0.0767656467,0.0024881252,0.0136915107,0.0306035044,46.7699493305,0.2343448354,0.0172052538,0.2330806465,0.0214623376,0.3307385286,0.1001981487,0.0029858182,0.0028306961,0.0133682453,0.0055362754,0.021777111,0.0218742039,0.0320661251,0.0051187477,0.0577246865,0.0030973476,0.0761066606,0.0043861636,0.0048184108,0.0109211085,3.7931327313,0.0129272228
CZK,0.0567498802,0.312836019,5.8814853055,2.0420738228,0.2751650135,13.0266602751,1.0,0.0324119621,0.1783546591,0.3986614551,609.2562410118,3.0527305579,0.2241269958,3.0362623991,0.2795825805,4.308418452,1.3052472436,0.0388952395,0.036874516,0.1741435894,0.0721191784,0.2836830267,0.2849478226,0.4177145175,0.0666801873,0.7519598805,0.0403480954,0.9914156127,0.0571370626,0.0627678012,0.1422655703,49.4118514694,0.1683985398
GBP,1.7508930806,9.651869212,181.4603290177,63.0037088443,8.4896129605,401.9090309222,30.8528066623,1.0,5.5027418144,12.2998247969,18797.2650117181,94.1853056952,6.9149468702,93.677216774,8.6259073016,132.9268015199,40.2705408542,1.2000273044,1.1376823136,5.3728184942,2.2250790689,8.7524175749,8.7914400783,12.8876652484,2.0572709277,23.2000728117,1.2448519875,30.5879542197,1.7628387449,1.9365628342,4.3892921341,1524.4943002116,5.1955675897
RON,0.3181855772,1.7540109163,32.9763479987,11.4495120741,1.5427968905,73.0379589811,5.6068061528,0.1817275885,1.0,2.2352174992,3415.9816407542,17.116068475,1.2566366193,17.0237347006,1.5675653325,24.1564670857,7.3182682765,0.2180780681,0.2067482633,0.9763893483,0.4043582534,1.5905557393,1.5976472048,2.3420443268,0.3738628846,4.2160932848,0.2262239497,5.5586751571,0.320356434,0.3519268938,0.7976554747,277.0426728415,0.9441779689
SEK,0.1423510586,0.7847159916,14.753082423,5.1223257148,0.6902222674,32.6759964112,2.5083939952,0.0813019711,0.4473837559,1.0,1528.254696475,7.6574510003,0.5621988105,7.6161423696,0.701303266,10.8072109737,3.2740743481,0.0975645852,0.0924958146,0.4368207339,0.1809033141,0.7115888006,0.714761407,1.0477925874,0.1672601815,1.8862116489,0.1012089203,2.4868609695,0.1433222647,0.1574463756,0.3568581022,123.9443915163,0.422409886
